%time.ns;position.rad;position.sended.rad
1407850175180460000;-1.7409499499;
1407850175280420000;-1.7409499499;
1407850175381460000;-1.7409499499;
1407850175480320000;-1.7409499499;
1407850175580250000;-1.7409499499;
1407850175680380000;-1.7409499499;
1407850175781450000;-1.7409499499;
1407850175880300000;-1.7409499499;
1407850175981490000;-1.7409499499;
1407850176080300000;-1.7409499499;
1407850176180260000;-1.7409499499;
1407850176280270000;-1.7409499499;
1407850176380360000;-1.7409499499;
1407850176480350000;-1.7409499499;
1407850176581310000;-1.7409499499;
1407850176680320000;-1.7409499499;
1407850176781400000;-1.7409499499;
1407850176880370000;-1.7409499499;
1407850176980270000;-1.7409499499;
1407850177080450000;-1.7409499499;
1407850177181270000;-1.7409499499;
1407850177280260000;-1.7409499499;
1407850177380420000;-1.7409499499;
1407850177480570000;-1.7409499499;
1407850177581270000;-1.7409499499;
1407850177680260000;-1.7409499499;
1407850177780470000;-1.7409499499;
1407850177880370000;-1.7409499499;
1407850177980280000;-1.7409499499;
1407850178018830000;-1.7409499499;-1.73933
1407850178080240000;-1.7409499499;
1407850178180360000;-1.7409499499;
1407850178280360000;-1.7409499499;
1407850178381320000;-1.7409499499;
1407850178480390000;-1.7409499499;
1407850178581470000;-1.7409499499;
1407850178680450000;-1.7409499499;
1407850178780270000;-1.7409499499;
1407850178880370000;-1.7409499499;
1407850178981430000;-1.7409499499;
1407850179081450000;-1.7409499499;
1407850179181310000;-1.7409499499;
1407850179280230000;-1.7409499499;
1407850179381440000;-1.7409499499;
1407850179480400000;-1.7409499499;
1407850179581280000;-1.7409499499;
1407850179680360000;-1.7409499499;
1407850179781340000;-1.7409499499;
1407850179880250000;-1.7409499499;
1407850179981400000;-1.7409499499;
1407850180080380000;-1.7409499499;
1407850180180250000;-1.7409499499;
1407850180280220000;-1.7409499499;
1407850180381370000;-1.7409499499;
1407850180480250000;-1.7409499499;
1407850180580210000;-1.7409499499;
1407850180680370000;-1.7409499499;
1407850180781250000;-1.7409499499;
1407850180880390000;-1.7409499499;
1407850180981420000;-1.7409499499;
1407850181080230000;-1.7409499499;
1407850181181360000;-1.7409499499;
1407850181280420000;-1.7409499499;
1407850181381260000;-1.7409499499;
1407850181480210000;-1.7409499499;
1407850181581360000;-1.7409499499;
1407850181680180000;-1.7409499499;
1407850181781320000;-1.7409499499;
1407850181880480000;-1.7409499499;
1407850181981380000;-1.7409499499;
1407850182080260000;-1.7409499499;
1407850182181350000;-1.7409499499;
1407850182280280000;-1.7409499499;
1407850182381260000;-1.7409499499;
1407850182480360000;-1.7409499499;
1407850182581320000;-1.7409499499;
1407850182680250000;-1.7409499499;
1407850182780180000;-1.7409499499;
1407850182880400000;-1.7409499499;
1407850182981230000;-1.7409499499;
1407850183080260000;-1.7409499499;
1407850183181400000;-1.7409499499;
1407850183280630000;-1.7409499499;
1407850183381420000;-1.7409499499;
1407850183480210000;-1.7409499499;
1407850183581220000;-1.7409499499;
1407850183680420000;-1.7409499499;
1407850183781270000;-1.7409499499;
1407850183880170000;-1.7409499499;
1407850183980250000;-1.7409499499;
1407850184080340000;-1.7409499499;
1407850184181190000;-1.7409499499;
1407850184280170000;-1.7409499499;
1407850184381310000;-1.7409499499;
1407850184480410000;-1.7409499499;
1407850184580170000;-1.7409499499;
1407850184680330000;-1.7409499499;
1407850184781360000;-1.7409499499;
1407850184880150000;-1.7409499499;
1407850184981330000;-1.7409499499;
1407850185080270000;-1.7409499499;
1407850185181350000;-1.7409499499;
1407850185280240000;-1.7409499499;
1407850185381270000;-1.7409499499;
1407850185480200000;-1.7409499499;
1407850185581430000;-1.7409499499;
1407850185680180000;-1.7409499499;
1407850185780160000;-1.7409499499;
1407850185880420000;-1.7409499499;
1407850185981330000;-1.7409499499;
1407850186080210000;-1.7409499499;
1407850186180200000;-1.7409499499;
1407850186280360000;-1.7409499499;
1407850186381340000;-1.7409499499;
1407850186480210000;-1.7409499499;
1407850186580370000;-1.7409499499;
1407850186680320000;-1.7409499499;
1407850186780230000;-1.7409499499;
1407850186880200000;-1.7409499499;
1407850186981360000;-1.7409499499;
1407850187080160000;-1.7409499499;
1407850187180160000;-1.7409499499;
1407850187280300000;-1.7409499499;
1407850187381330000;-1.7409499499;
1407850187480180000;-1.7409499499;
1407850187580190000;-1.7409499499;
1407850187680290000;-1.7409499499;
1407850187781260000;-1.7409499499;
1407850187880130000;-1.7409499499;
1407850187981300000;-1.7409499499;
1407850188019090000;-1.7409499499;-1.84072
1407850188080150000;-1.7409499499;
1407850188180140000;-1.7514225646;
1407850188280250000;-1.7968038948;
1407850188353460000;-1.7968038948;-1.94211
1407850188388160000;-1.8247308673;
1407850188480320000;-1.8404397893;
1407850188581340000;-1.8858211195;
1407850188680160000;-1.9224752709;
1407850188697210000;-1.9224752709;-2.0435
1407850188781350000;-1.9329478855;
1407850188880210000;-1.960874858;
1407850188981150000;-2.0114924956;
1407850189036240000;-2.0114924956;-2.1449
1407850189080250000;-2.0306922891;
1407850189181300000;-2.0464012111;
1407850189280310000;-2.0935279771;
1407850189375230000;-2.0935279771;-2.24629
1407850189413270000;-2.1319275643;
1407850189480280000;-2.1371638716;
1407850189581180000;-2.173818023;
1407850189680310000;-2.220944789;
1407850189716450000;-2.220944789;-2.34768
1407850189781270000;-2.2349082752;
1407850189880140000;-2.2558535045;
1407850189981290000;-2.3064711421;
1407850190055410000;-2.3064711421;-2.44907
1407850190091130000;-2.3361435504;
1407850190180170000;-2.3448707292;
1407850190280250000;-2.3885066237;
1407850190382130000;-2.4286516466;
1407850190397420000;-2.4286516466;-2.55047
1407850190480150000;-2.4408696971;
1407850190581290000;-2.4687966695;
1407850190680630000;-2.5194143071;
1407850190735460000;-2.5194143071;-2.65186
1407850190781140000;-2.5386141006;
1407850190880080000;-2.5525775869;
1407850190981290000;-2.6014497887;
1407850191075450000;-2.6014497887;-2.75323
1407850191107240000;-2.6398493758;
1407850191180200000;-2.6450856831;
1407850191280200000;-2.6817398345;
1407850191381380000;-2.7271211647;
1407850191418410000;-2.7271211647;-2.85464
1407850191480200000;-2.7428300867;
1407850191581270000;-2.7637753161;
1407850191680130000;-2.8143929536;
1407850191756470000;-2.8143929536;-2.95604
1407850191791390000;-2.8423199261;
1407850191880210000;-2.851047105;
1407850191981180000;-2.8946829995;
1407850192080170000;-2.9348280224;
1407850192100270000;-2.9348280224;-3.05743
1407850192181140000;-2.9470460728;
1407850192280090000;-2.9749730453;
1407850192380270000;-3.0255906828;
1407850192438460000;-3.0255906828;3.12437
1407850192480190000;-3.0447904764;
1407850192581090000;-3.0430450406;
1407850192681260000;-3.0029000177;
1407850192783320000;-2.9400643297;
1407850192880340000;-2.8719923343;
1407850192981320000;-2.8021749032;
1407850193080220000;-2.7323574721;
1407850193181310000;-2.6642854767;
1407850193280340000;-2.5944680456;
1407850193381080000;-2.5263960502;
1407850193480350000;-2.4565786191;
1407850193581310000;-2.3867611879;
1407850193680270000;-2.3186891926;
1407850193781270000;-2.2488717614;
1407850193880250000;-2.1807997661;
1407850193981170000;-2.1109823349;
1407850194080330000;-2.0411649038;
1407850194181250000;-1.9730929084;
1407850194280090000;-1.9032754773;
1407850194380290000;-1.8352034819;
1407850194480320000;-1.7653860508;
1407850194581140000;-1.6955686197;
1407850194680210000;-1.6274966243;
1407850194781240000;-1.5576791932;
1407850194880100000;-1.4896071978;
1407850194980230000;-1.4197897667;
1407850195080250000;-1.3499723355;
1407850195181160000;-1.2819003402;
1407850195280120000;-1.212082909;
1407850195381280000;-1.1440109137;
1407850195480220000;-1.0741934825;
1407850195581070000;-1.0043760514;
1407850195680270000;-0.936304056;
1407850195781090000;-0.8664866249;
1407850195880240000;-0.7984146295;
1407850195981250000;-0.7285971984;
1407850196080110000;-0.6587797673;
1407850196180320000;-0.5907077719;
1407850196280230000;-0.5208903408;
1407850196381160000;-0.4528183454;
1407850196481230000;-0.3830009143;
1407850196581260000;-0.3131834831;
1407850196680070000;-0.2451114878;
1407850196781250000;-0.1752940566;
1407850196880250000;-0.1072220613;
1407850196981110000;-0.0374046301;
1407850197080270000;0.032412801;
1407850197180250000;0.1004847964;
1407850197280210000;0.1703022275;
1407850197381250000;0.2383742229;
1407850197482210000;0.308191654;
1407850197584020000;0.3780090851;
1407850197681230000;0.4460810805;
1407850197780170000;0.5158985116;
1407850197880110000;0.583970507;
1407850197980320000;0.6537879381;
1407850198080240000;0.7236053693;
1407850198180070000;0.7916773646;
1407850198281220000;0.8614947958;
1407850198381230000;0.9295650601;
1407850198480110000;0.9993771649;
1407850198580040000;1.0691892697;
1407850198680170000;1.1372560719;
1407850198781150000;1.2070681767;
1407850198880140000;1.2751349789;
1407850198981220000;1.3449470837;
1407850199080080000;1.4147591885;
1407850199181230000;1.4828259907;
1407850199280250000;1.5526380955;
1407850199381240000;1.6224502004;
1407850199480100000;1.6905170025;
1407850199581100000;1.7603291074;
1407850199680170000;1.8283959096;
1407850199781210000;1.8982080144;
1407850199880280000;1.9662748166;
1407850199981200000;2.0360869214;
1407850200080060000;2.1058990262;
1407850200181260000;2.1739658284;
1407850200280100000;2.2437779332;
1407850200381080000;2.3118448686;
1407850200480160000;2.3816569734;
1407850200581300000;2.4514690782;
1407850200680090000;2.5195357472;
1407850200780240000;2.589347852;
1407850200880130000;2.657416119;
1407850200981060000;2.7272295554;
1407850201081300000;2.7970429918;
1407850201181130000;2.8651109924;
1407850201280240000;2.9349244288;
1407850201381070000;3.0029926957;
1407850201480090000;3.0640789532;
1407850201565410000;3.0640789532;3.02298
1407850201604140000;3.1077121845;
1407850201680220000;3.1129482255;
1407850201780040000;3.085022851;
1407850201881210000;3.0448804912;
1407850201906390000;3.0448804912;2.92158
1407850201981220000;3.0326632397;
1407850202080200000;3.0082284704;
1407850202181110000;2.9558685929;
1407850202246300000;2.9558685929;2.82019
1407850202285020000;2.9349244288;
1407850202380010000;2.9227071773;
1407850202480200000;2.8755830744;
1407850202581230000;2.8389310536;
1407850202681040000;2.8302044074;
1407850202780220000;2.8267138021;
1407850202880180000;2.8267138021;
1407850202980050000;2.8267138021;
1407850203081180000;2.8267138021;
1407850203181000000;2.8249683663;
1407850203280010000;2.8249683663;
1407850203380060000;2.8249683663;
1407850203480130000;2.8249683663;
1407850203581150000;2.8249683663;
1407850203681210000;2.8249683663;
1407850203781170000;2.8249683663;
1407850203880130000;2.8249683663;
1407850203981130000;2.8249683663;
1407850204079990000;2.8249683663;
1407850204181130000;2.8249683663;
1407850204281220000;2.8249683663;
1407850204381030000;2.8249683663;
1407850204481260000;2.8249683663;
1407850204581240000;2.8249683663;
1407850204681080000;2.8249683663;
1407850204781230000;2.8249683663;
1407850204880080000;2.8249683663;
1407850204981140000;2.8249683663;
1407850205080170000;2.8249683663;
1407850205180010000;2.8249683663;
1407850205281120000;2.8249683663;
1407850205381230000;2.8249683663;
1407850205481020000;2.8249683663;
1407850205581140000;2.8249683663;
1407850205681210000;2.8249683663;
1407850205780030000;2.8249683663;
1407850205881120000;2.8249683663;
1407850205980010000;2.8249683663;
1407850206081170000;2.8249683663;
1407850206181160000;2.8249683663;
1407850206281000000;2.8249683663;
1407850206380130000;2.8249683663;
1407850206481110000;2.8249683663;
1407850206579950000;2.8249683663;
1407850206681140000;2.8249683663;
1407850206781100000;2.8249683663;
1407850206880960000;2.8249683663;
1407850206981170000;2.8249683663;
1407850207081070000;2.8249683663;
1407850207181150000;2.8249683663;
1407850207279980000;2.8249683663;
1407850207380960000;2.8249683663;
1407850207481110000;2.8249683663;
1407850207581000000;2.8249683663;
1407850207680990000;2.8249683663;
1407850207781090000;2.8249683663;
1407850207880140000;2.8249683663;
1407850207980020000;2.8249683663;
1407850208081090000;2.8249683663;
1407850208181020000;2.8249683663;
1407850208280150000;2.8249683663;
1407850208381160000;2.8249683663;
1407850208479990000;2.8249683663;
